Fecha Desde; Código Variedad; Descripción Variedad; Origen; Descripción Origen; Kilos; Precio Más Frecuente; Precio Máximo; Precio Mínimo
13/04/2020; CA 0101; VACUNO CANAL                  ; 008; BARCELONA           ; 000011480; 4,16; 4,16; 4,16
13/04/2020; CA 0101; VACUNO CANAL                  ; 010; CACERES             ; 000022340; 4,16; 4,16; 4,16
13/04/2020; CA 0101; VACUNO CANAL                  ; 015; LA CORUÑA           ; 000025220; 4,16; 4,16; 4,16
13/04/2020; CA 0101; VACUNO CANAL                  ; 028; MADRID              ; 000025580; 4,16; 4,16; 4,16
13/04/2020; CA 0101; VACUNO CANAL                  ; 045; TOLEDO              ; 000104480; 4,16; 4,16; 4,16
13/04/2020; CA 0101; VACUNO CANAL                  ; 054; POLONIA             ; 000055528; 4,16; 4,16; 4,16
13/04/2020; CA 0101; VACUNO CANAL                  ; 064; BELGICA             ; 000012600; 4,16; 4,16; 4,16
13/04/2020; CA 0101; VACUNO CANAL                  ; 065; HOLANDA             ; 000022900; 4,16; 4,16; 4,16
13/04/2020; CA 0101; VACUNO CANAL                  ; 067; IRLANDA             ; 000022000; 4,16; 4,16; 4,16
13/04/2020; CA 0207; VACUNO DESPIECE AÑOJO         ; 045; TOLEDO              ; 000005390; 8,56; 8,56; 8,56
13/04/2020; CA 0207; VACUNO DESPIECE AÑOJO         ; 054; POLONIA             ; 000023180; 8,56; 8,56; 8,56
13/04/2020; CA 0207; VACUNO DESPIECE AÑOJO         ; 062; ITALIA              ; 000004200; 8,56; 8,56; 8,56
13/04/2020; CA 0207; VACUNO DESPIECE AÑOJO         ; 065; HOLANDA             ; 000007500; 8,56; 8,56; 8,56
13/04/2020; CA 0207; VACUNO DESPIECE AÑOJO         ; 081; AUSTRIA             ; 000005500; 8,56; 8,56; 8,56
13/04/2020; CA 0208; VACUNO DESPIECE VACA          ; 045; TOLEDO              ; 000005390; 7,9; 7,9; 7,9
13/04/2020; CA 0208; VACUNO DESPIECE VACA          ; 054; POLONIA             ; 000023180; 7,9; 7,9; 7,9
13/04/2020; CA 0208; VACUNO DESPIECE VACA          ; 062; ITALIA              ; 000004200; 7,9; 7,9; 7,9
13/04/2020; CA 0208; VACUNO DESPIECE VACA          ; 065; HOLANDA             ; 000007500; 7,9; 7,9; 7,9
13/04/2020; CA 0208; VACUNO DESPIECE VACA          ; 081; AUSTRIA             ; 000005500; 7,9; 7,9; 7,9
13/04/2020; CA 0501; VACUNO ELABORADO              ; 065; HOLANDA             ; 000019000; 0; 0; 0
13/04/2020; CB 0101; OVINO CANAL                   ; 049; ZAMORA              ; 000003740; 5,88; 5,88; 5,88
13/04/2020; CC 0101; PORCINO CANAL                 ; 049; ZAMORA              ; 000007000; 2,39; 2,39; 2,39
13/04/2020; CC 0101; PORCINO CANAL                 ; 050; ZARAGOZA            ; 000087980; 2,39; 2,39; 2,39
13/04/2020; CC 0201; PORCINO DESPIECE              ; 016; CUENCA              ; 000000600; 3,65; 3,65; 3,65
13/04/2020; CC 0201; PORCINO DESPIECE              ; 017; GERONA              ; 000024300; 3,65; 3,65; 3,65
13/04/2020; CC 0201; PORCINO DESPIECE              ; 045; TOLEDO              ; 000015180; 3,65; 3,65; 3,65
13/04/2020; CC 0301; PORCINO CASQUERIA             ; 008; BARCELONA           ; 000019020; 1,58; 1,58; 1,58
13/04/2020; CC 0301; PORCINO CASQUERIA             ; 050; ZARAGOZA            ; 000010900; 1,58; 1,58; 1,58
13/04/2020; CC 0501; PORCINO ELABORADO             ; 008; BARCELONA           ; 000026000; 0; 0; 0
13/04/2020; CC 0501; PORCINO ELABORADO             ; 030; MURCIA              ; 000004800; 0; 0; 0
13/04/2020; CC 0501; PORCINO ELABORADO             ; 046; VALENCIA            ; 000007200; 0; 0; 0
13/04/2020; CE 0101; HUEVOS                        ; 019; GUADALAJARA         ; 000002550; 1,19; 1,52; 0,84
13/04/2020; CE 0201; POLLO                         ; 001; ALAVA               ; 000005280; 1,75; 1,79; 1,75
13/04/2020; CE 0201; POLLO                         ; 003; ALICANTE            ; 000009640; 1,75; 1,79; 1,75
13/04/2020; CE 0201; POLLO                         ; 015; LA CORUÑA           ; 000009340; 1,75; 1,79; 1,75
13/04/2020; CE 0201; POLLO                         ; 019; GUADALAJARA         ; 000015000; 1,75; 1,79; 1,75
13/04/2020; CE 0201; POLLO                         ; 024; LEON                ; 000003500; 1,75; 1,79; 1,75
13/04/2020; CE 0201; POLLO                         ; 027; LUGO                ; 000018840; 1,75; 1,79; 1,75
13/04/2020; CE 0201; POLLO                         ; 028; MADRID              ; 000038820; 1,75; 1,79; 1,75
13/04/2020; CE 0201; POLLO                         ; 031; NAVARRA             ; 000010450; 1,75; 1,79; 1,75
13/04/2020; CE 0201; POLLO                         ; 032; ORENSE              ; 000069060; 1,75; 1,79; 1,75
13/04/2020; CE 0201; POLLO                         ; 041; SEVILLA             ; 000010260; 1,75; 1,79; 1,75
13/04/2020; CE 0201; POLLO                         ; 043; TARRAGONA           ; 000005060; 1,75; 1,79; 1,75
13/04/2020; CE 0201; POLLO                         ; 045; TOLEDO              ; 000007000; 1,75; 1,79; 1,75
13/04/2020; CE 0201; POLLO                         ; 047; VALLADOLID          ; 000008440; 1,75; 1,79; 1,75
13/04/2020; CE 0301; PAVO                          ; 005; AVILA               ; 000007220; 2,85; 3,15; 2,85
13/04/2020; CE 0301; PAVO                          ; 041; SEVILLA             ; 000012700; 2,85; 3,15; 2,85
13/04/2020; CE 0301; PAVO                          ; 045; TOLEDO              ; 000003240; 2,85; 3,15; 2,85
13/04/2020; CE 0301; PAVO                          ; 050; ZARAGOZA            ; 000001200; 2,85; 3,15; 2,85
13/04/2020; CE 0601; CONEJO                        ; 032; ORENSE              ; 000004940; 4,5; 4,59; 4,5
13/04/2020; CE 0601; CONEJO                        ; 036; PONTEVEDRA          ; 000010500; 4,5; 4,59; 4,5
13/04/2020; CH 0201; OVINO DESPIECE CONG.          ; 062; ITALIA              ; 000007000; 0; 0; 0
13/04/2020; CI 0201; PORCINO DESPIECE CONG.        ; 030; MURCIA              ; 000011800; 0; 0; 0
13/04/2020; F1 0102; AGUACATE HASS                 ; 018; GRANADA             ; 000006900; 4; 4,75; 1,8
13/04/2020; F1 0102; AGUACATE HASS                 ; 029; MALAGA              ; 000018000; 4; 4,75; 1,8
13/04/2020; F1 0102; AGUACATE HASS                 ; 077; PERU                ; 000038780; 4; 4,75; 1,8
13/04/2020; F1 0102; AGUACATE HASS                 ; 095; MEJICO              ; 000051180; 4; 4,75; 1,8
13/04/2020; F1 0901; CHIRIMOYAS                    ; 018; GRANADA             ; 000004720; 2,5; 3; 1
13/04/2020; F1 1201; FRESON                        ; 021; HUELVA              ; 000295060; 2; 3; 1
13/04/2020; F1 1504; LIMON PRIMAFIORI              ; 003; ALICANTE            ; 000039760; 1,35; 1,55; 1
13/04/2020; F1 1504; LIMON PRIMAFIORI              ; 030; MURCIA              ; 000114460; 1,35; 1,55; 1
13/04/2020; F1 1609; MANDARINA ORTANIQUE           ; 003; ALICANTE            ; 000002751; 0,9; 1; 0,75
13/04/2020; F1 1609; MANDARINA ORTANIQUE           ; 030; MURCIA              ; 000003220; 0,9; 1; 0,75
13/04/2020; F1 1609; MANDARINA ORTANIQUE           ; 046; VALENCIA            ; 000010166; 0,9; 1; 0,75
13/04/2020; F1 1616; MANDARINA NADORCOTT           ; 003; ALICANTE            ; 000004186; 0,8; 1; 0,6
13/04/2020; F1 1616; MANDARINA NADORCOTT           ; 030; MURCIA              ; 000004900; 0,8; 1; 0,6
