functional_code,name,primary_ods,secondary_ods_1,secondary_ods_2,secondary_ods_3,secondary_ods_4
130,Administración general de la seguridad y protección civil.,16,5,11,16,
132,Seguridad y Orden Público.,16,5,11,,
133,Ordenación del tráfico y del estacionamiento,11,3,11,,
134,Movilidad urbana.,11,3,9,11,11
135,Protección civil.,11,5,16,,
136,Servicio de prevención y extinción de incendios.,15,11,13,,
150,Administración General de Vivienda y urbanismo.,11,1,11,,
151,"Urbanismo: planeamiento, gestión, ejecución y disciplina urbanística.",11,,,,
152,Vivienda.,11,1,,,
153,Vías públicas.,11,9,11,11,
160,Alcantarillado.,6,6,9,12,
161,Abastecimiento domiciliario de agua potable.,6,9,,,
162,"Recogida, gestión y tratamiento de residuos.",12,11,12,,
163,Limpieza viaria.,11,12,,,
164,Cementerio y servicios funerarios.,,,,,
165,Alumbrado público.,7,7,9,11,11
170,Administración general del medio ambiente.,15,13,14,15,
171,Parques y jardines.,11,6,11,15,
172,Protección y mejora del medio ambiente.,15,13,14,15,
211,Pensiones.,1,10,10,,
221,Otras prestaciones económicas a favor de empleados.,8,1,10,10,
231,Asistencia social primaria.,1,3,10,10,
241,Fomento del Empleo.,8,8,8,10,
311,Protección de la salubridad pública.,3,3,3,6,12
312,"Hospitales, servicios asistenciales y centros de salud.",3,3,11,,
320,Administración general de educación.,4,8,,,
321,Creación de Centros docentes de enseñanza preescolar y primaria.,4,4,,,
322,Creación de Centros docentes de enseñanza secundaria.,4,4,,,
323,Funcionamiento de centros docentes de enseñanza preescolar y primaria y educación especial.,4,4,,,
324,Funcionamiento de centros docentes de enseñanza secundaria.,4,4,4,,
325,Vigilancia del cumplimiento de la escolaridad obligatoria.,4,4,,,
326,Servicios complementarios de educación,4,4,4,12,13
327,Fomento de la convivencia ciudadana.,16,5,10,11,16
330,Administración general de cultura.,11,4,12,,
332,Bibliotecas y Archivos.,11,4,12,,
333,Equipamientos culturales y museos.,11,4,12,,
334,Promoción cultural.,11,4,12,,
336,Protección y gestión del Patrimonio Histórico-Artístico.,11,4,14,15,
337,Instalaciones de ocupación del tiempo libre,11,3,11,,
338,Fiestas populares y festejos.,11,8,12,,
340,Administración general de deportes.,3,4,10,12,
341,Promoción y fomento del deporte.,3,4,5,10,12
342,Instalaciones deportivas.,11,11,,,
410,"Administración general de agricultura, ganadería y pesca.",2,2,14,,
412,Mejora de las estructuras agropecuarias y de los sistemas productivos.,2,2,6,12,14
414,Desarrollo rural.,11,2,8,9,12
415,Protección y desarrollo de los recursos pesqueros.,14,14,14,,
419,"Otras actuaciones en agricultura, ganadería y pesca.",2,2,12,14,
420,Administración General de Industria y energía.,9,7,7,9,
422,Industria.,9,8,9,9,9
423,Minería.,,,,,
425,Energía.,7,7,7,9,13
430,"Administración general de comercio, turismo y pequeñas y medianas empresas.",8,8,9,12,
431,Comercio.,8,8,9,,
432,Información y promoción turística.,12,8,8,11,
433,Desarrollo empresarial.,9,8,8,9,9
439,Otras actuaciones sectoriales.,8,9,,,
440,Administración general del transporte.,11,9,13,,
441,Transporte de viajeros.,11,11,,,
442,Infraestructuras del transporte.,9,3,11,11,
443,Transporte de mercancías.,9,11,,,
450,Administración general de infraestructuras.,9,9,11,,
452,Recursos Hidráulicos.,6,9,15,,
453,Carreteras.,9,3,11,,
454,Caminos vecinales.,9,11,,,
459,Otras infraestructuras.,9,,,,
462,Investigación y estudios relacionados con los servicios públicos.,9,16,,,
463,"Investigación científica, técnica y aplicada.",9,,,,
491,Sociedad de la información.,9,9,17,,
492,Gestión del conocimiento.,9,,,,
493,Protección de consumidores y usuarios.,12,12,,,
912,Órganos de gobierno.,,,,,
920,Administración General.,,,,,
922,Coordinación y organización institucional de las entidades locales.,16,,,,
923,Información básica y estadística.,17,17,,,
924,Participación ciudadana.,16,16,,,
925,Atención a los ciudadanos.,16,16,,,
926,Comunicaciones internas.,,,,,
929,"Imprevistos, situaciones transitorias y contingencias de ejecución.",,,,,
931,Política económica y fiscal.,17,,,,
932,Gestión del sistema tributario.,17,,,,
933,Gestión del patrimonio.,17,11,,,
934,Gestión de la deuda y de la tesorería.,16,,,,
941,Transferencias a Comunidades Autónomas.,,,,,
942,Transferencias a Entidades Locales territoriales.,,,,,
943,Transferencias a otras Entidades Locales.,,,,,
944,Transferencias a la Administración General del Estado.,,,,,
011,Deuda Pública.,,,,,
